"","Species","CommonName","TaxonomicGrouping","FilterRegion","FilterSubRegion","ManagementBody","ManagementPlan","DistributionProjectName"
"1","Albatrossia pectoralis","Giant grenadier","Gadiformes (Cods, genadiers, pollock)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"2","Anoplopoma fimbria","Sablefish","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"3","Aptocyclus ventricosus","Smooth lumpsucker","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"4","Arctoraja parmifera","Alaska skate","Elasmobranchii: Batoidea (skates, rays)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Not for IDW"
"5","Bathymaster signatus","Searcher","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"6","Berryteuthis magister","Magister armhook squid","Cephalopoda (squid, octopus)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"7","Ceramaster japonicus","Red cookie star","Asteroidea (starfishes)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"8","Ceramaster patagonicus","Cookie star","Asteroidea (starfishes)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"9","Chionoecetes bairdi","Tanner crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Aleutian Islands","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","Not for IDW"
"10","Crossaster papposus","Common sunstar","Asteroidea (starfishes)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"11","Diplopteraster multipes","Pincushion star","Asteroidea (starfishes)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"12","Elassochirus cavimanus","Purple hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"13","Elassochirus tenuimanus","Widehand hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
