"","spp"
"1","Paralomis makarovi"
"2","Castaneobuccinum lauthi"
"3","Scaphopoda"
"4","Boreancistrolepis excelsus"
"5","Muusoctopus sp."
"6","Laevisipho galaxaios"
"7","Laevisipho kessleri"
"8","Exiloberingius fragilis"
"9","Tridonta arctica"
"10","Latisipho sp."
"11","Tridonta elliptica"
"12","Rhynocrangon sp."
"13","Xeniostoma inexpectans"
"14","Crebrivolutopsius labidentatus"
"15","Castaneobuccinum orri"
"16","Megayoldia sp."
"17","Tridonta montagui"
"18","Tridonta borealis"
"19","Boreoscala sp."
"20","Parvamussium sp."
"21","Clinopegma"
"23","Trichotropis sp."
"25","Ptilichthys goodei"
"26","Retifusus sp."
"28","Leukoma sp."
"29","Keenocardium californiense"
"32","Pseudocadella nuculoides"
"34","Admete viridula"
"36","Cinctura lilium"
"37","Turritella"
"38","Astropecten karankawai"
"39","Raymanninus"
"40","Stramonita floridana"
"41","Astropecten mcedwardi"
"42","Chromis cyanea"
"43","Olividae"
"44","Xenomystax congroides"
"45","Diaphus termophilus"
"46","Carpilius"
"47","Palaeomutelidae"
"48","Globivenus rugatina"
"49","Acetes"
"50","Luidia alternata numidica"
"51","Ctenoides mitis"
"52","Persephona aquilonaris"
"53","Haemulon album"
"54","Pinnotheres"
"55","Thor"
"56","Abra"
"57","Crucibulum auricula"
"58","Pleurogona"
"59","Pseudopterogorgia"
"60","Crucibulum striatum"
"61","Alcyonaria"
"62","Fasciolariidae"
"63","Lithophaga aristata"
"64","Coryrhynchus"
"65","Mellita tenuis"
"66","Pilumnus marshi"
"67","Americardia"
"68","Macrotritopus defilippi"
"69","Ophiactis savignyi"
"70","Ctenoides scaber"
"71","Trash"
"72","Pinctada longisquamosa"
"73","Stramonita"
"74","Bursatella leachii"
"75","Pitho anisodon"
"76","Astrangia"
"77","Paramuricea"
"78","Chamidae"
"79","Euchirograpsus"
"80","Paguristes depressus"
"81","Albula"
"82","Chaetodipterus zonatus"
"83","Encope"
"84","Argopecten"
"85","Macrocypraea"
"86","Haminoea"
"87","Zoantharia"
"88","Aplidium constellatum"
"89","Holothuria pseudofossor"
"90","Polyclinidae"
"91","Microgobius microlepis"
"92","Pseudomyrophis"
"93","Metapenaeus"
"94","Comactinia echinoptera"
"95","Periclimenaeus"
"96","Tripneustes ventricosus"
"97","Ethusa americana"
"98","Genocidaris maculata"
"99","Palicus sica"
"100","Lagocephalus lagocephalus"
"103","Paracrangon sp."
"116","Cranopsis sp."
"117","Hymenodora sp."
"126","Emerita talpoida"
"127","Stephanolepis hispidus"
"129","Lampanyctinae"
"130","Icosteidae"
"131","Benthodytes"
"132","Glyphocrangon alata"
"133","Mushroom sponge"
"134","Pita sponge"
